formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap
CaAgAsO4,0.35,6.640906187834122,1.3535424199848434,0.9459205980631424,3.6746000000000003
KTlO,0.356,1.8377714808363375,1.5794798575873523,1.3050003740325409,2.1795999999999998
LiAgO,0.356,1.6484929632037968,1.6484929632037972,3.46927882106744,2.6024999999999996
Na4SnO3,0.358,5.5055335323479095,1.1403130453597243,3.1209791407159937,3.4282000000000004
Rb4SnO3,0.362,9.908660871035075,1.9001619529026383,6.32909992693556,3.3994
Ba4AgAuO6,0.3639999999999999,1.664460846237397,0.5533326265694195,0.7835194618171871,3.152
Tl3BO3,0.366,0.8919426352689122,0.8919426344476906,1.1117086327085086,2.0903000000000005
Rb2Al2Sb2O7,0.366,7.027789503390546,7.027789505349767,2.3003091139748086,5.7768999999999995
RbTlO,0.368,1.6511658453317062,1.6208938334918328,2.4629317182294996,2.3529
Cs2Al2Sb2O7,0.369,6.2616806925276975,6.261680683427362,32.619473116005565,5.8152
K2Al2Sb2O7,0.37,6.7601787472380686,6.760178738869181,1.3096447899887924,5.6761
TiTl2O3,0.3719999999999999,1.4344510229554646,8.065931241514802,0.9610142943449071,3.1689999999999996
VAg3O4,0.3719999999999999,2.0472355104939344,1.7181483101965485,1.0359231271384286,1.8390999999999997
Sc2Pt2O7,0.372,1.6948106028542944,1.6948106028542937,1.6948106028542937,3.1181
Y2Pt2O7,0.376,1.6189636670908496,1.6189636670908496,1.6189636670908496,2.8507
K2Pb2O3,0.378,0.3296925897557252,0.32969258975572524,0.32969258975572513,2.4279
Na2PtO2,0.38,1.0458161393102967,10.577404039627986,13.214178201961438,3.6059999999999994
SbAsO3,0.38,3.899000904362309,2.5760289599802264,2.812934822163682,4.780200000000001
BaAl2Sb2O7,0.384,2.936358205002587,2.936358209515168,1.0249477052060803,5.3632
La2ReO5,0.384,15.234332052646435,15.228361969369114,1.5948096655773008,2.2658000000000005
YTl(WO4)2,0.3840000000000001,1.2706208444291,0.902698635047644,1.2280221724277043,3.9735000000000005
La2Pt2O7,0.388,1.7598294265693801,1.7598294265693801,1.7598294265693801,2.1244999999999994
Rb2Pb2O3,0.39,0.3592657968653804,0.3592657968653804,0.3592657968653804,2.8664
Ba2CePtO6,0.396,1.8349299761575835,1.8349299761575835,1.8349299761575835,2.8753
K2PdO2,0.398,0.9915336415347145,4.015907679817628,397.4652333743623,3.8509
Cs2Pb2O3,0.402,0.4094453126313256,0.4094453126313256,0.4094453126313256,2.8317999999999994
SbO2,0.408,1.5518030124508253,3.5124936644907625,3.5204060350197808,3.3436000000000003
SrTlVO4,0.408,1.0151638220999653,6.998229489524066,0.964065678601869,4.475999999999999
Bi2Pt2O7,0.408,1.6142876904473018,1.6142876904473016,1.6142876904473016,1.5286999999999997
In2Pt2O7,0.408,2.9469042575028257,2.9469042575028257,2.9469042575028253,3.4617999999999993
Ca(AuO2)2,0.41,4.7857562127114415,4.787346522481934,5.750702412959509,3.1430000000000002
CsTlO,0.412,0.8216750168188314,0.8083905517531773,8.348029423621599,2.6455999999999995
CsSbO2,0.416,13.007143240737127,13.502834279615659,5.822025926640049,4.3255
TaTl(GeO3)3,0.4180000000000001,4.892521053189932,4.8925210464157285,4.108918169450646,5.7233
RbCuO,0.42,78.26493868813846,78.26493868813847,1.8904168103745291,3.8575999999999997
Sr3MgPtO6,0.4200000000000001,3.4742615023343446,3.474261505820232,1.355112930276837,4.9978
Na3SbO3,0.423,6.662742400774831,6.662742400774831,6.662742400774831,5.0309
RbSbO2,0.424,7.896252855891086,8.551529244437278,6.8539026467045145,4.0262
Sb2O3,0.4240000000000001,1.145608203168371,0.6674577166834395,1.45459249584263,3.0061
Cs2Al2As2O7,0.43,5.285914404288806,1.8181526412957638,55.603606194664906,6.2103
As2O3,0.4319999999999999,2.137002521655813,1.2004215228809865,2.4366788505106274,5.3431
Cs3SbO3,0.4319999999999999,3.377766589572107,3.377766589572107,3.377766589572107,5.2522
Rb3SbO3,0.433,6.752340227921255,6.752340227921255,6.752340227921255,5.523199999999999
KSbO2,0.44,4.921392121839042,5.945957937269892,4.954092792519966,3.6699
Rb3CuO2,0.44,22.17469492077254,14.335127798144375,30.689537190284433,4.3256
Cs3As5O9,0.44,2.6950785728182516,2.6950785728936832,11.684297348815461,5.4934
K3SbO3,0.44,19.648623640917126,19.648623640917126,19.648623640917126,5.6876
NbSbO4,0.4439999999999999,3.341188307885323,6.2015010520768366,1.3920944079886683,3.4316999999999998
K2PbO2,0.4439999999999999,7.2466237160495455,3.32244405042762,4.072929888104294,3.492
Li8PtO6,0.446,2.8106637895486157,2.81066377897607,2.4879564133245538,4.8213
Ba2InCuO4,0.4499999999999999,3.037900425897794,3.0379004258977944,8.631263324545495,3.4818
Tl2Pt2O7,0.452,1.620415556412146,1.620415556412146,1.6204155564121456,1.5457
Sr3ZnPtO6,0.452,3.137461495007114,3.137461495821747,1.0903662939549261,4.8386000000000005
Mg(SbO2)2,0.4520000000000002,1.4922998806885321,1.4922998806885326,1.9422267527827506,3.7887999999999997
Na3TlO2,0.454,37.64444787531437,3.4997703523755543,1.6536714724890944,3.1069
Rb2PbO2,0.458,5.704885440941516,2.103438553968413,9.224225171997375,3.4851
Sr3CdPtO6,0.4600000000000001,2.906347439798755,2.906347433606535,1.0664432410245142,4.0519
GePbO3,0.4620000000000001,3.633143918409607,3.633143919929482,1.5249540364319074,4.3591
Na2PtO3,0.464,2.9885207315591606,1.360050156766192,2.6142582210250995,3.4814
Pb3O4,0.4640000000000001,1.4948984478038794,1.4948984478038794,1.3919685646424944,2.1612
As2PbO4,0.4640000000000002,1.4864910577605044,4.894593373032025,1.0856237257049361,4.2247
TlSbWO6,0.466,1.973077664633172,2.0336285732998314,5.04328851171903,4.1902
SnB4O7,0.47,1.3186785263782461,1.5667645277549074,1.7741905646143743,5.466799999999999
Mg2PtO4,0.472,1.20687802090732,2.941399461197324,1.4662981520107161,3.3459000000000003
Cs2PbO2,0.476,3.713569430784504,1.2932604883559917,34.87495191315184,3.3920999999999997
KNa2CuO2,0.48,6.354886374516916,6.354886374516916,1.427948952467202,4.6485
LiAuO2,0.482,5.252351485402114,5.252351485402112,6.517783898985886,3.1293
Na3CuO2,0.488,3.3346865943630726,3.3346865943630726,5.219854494367743,4.3784
Ba(AuO2)2,0.488,4.00539200053062,4.008155423361361,4.441739422420496,2.9785
RbAuO,0.488,26.52643472604834,26.52643472604834,2.355919797906104,3.4571000000000005
Sr(AuO2)2,0.488,4.917869778306402,4.926878581300363,5.337127374987636,3.1224999999999996
Sr4PtO6,0.4959999999999999,2.6431942842224694,2.643194282185256,1.7747417931521536,4.3514
CsAuO,0.496,169.7020996759117,169.7020996759117,1.8026328138913141,3.1273
Ga2PbO4,0.496,7.779984153517986,1.0826348271700912,2.4344179722489137,5.2946
RbNa2AuO2,0.498,10.60364183816798,14.709540597480986,12.277757292853309,4.418
CdAuO2,0.5,1.410514534772099,1.5313015837058435,2.2612738694722267,1.9834
GaBPbO4,0.5000000000000001,3.362252008020008,4.012810972450177,1.1241293949270332,4.8388
CsK2AuO2,0.502,14.825815713442475,10.468259025806102,14.831561477118942,4.3199000000000005
Al2PbO4,0.503,8.595845995397035,1.0893970864896965,4.545507865055181,6.0424999999999995
LaSb5O12,0.504,1.4030473976633355,1.4030473942186528,3.6845707697483148,4.976800000000001
RbAsO2,0.508,2.489003093586234,5.699375106303414,4.302453269246232,6.3369
LaAsO3,0.512,0.6709919217534802,6.328643730169584,1.2452974494118005,4.1139
KNa2AuO2,0.512,11.847714608385147,16.40885115358446,10.990140218957977,4.5612
Rb3BiO3,0.513,12.330987612867437,12.330987612867437,12.33098761286744,5.4279
Cs3BiO3,0.514,5.949208414617952,5.949208414617952,5.949208414617952,5.1726
Li2PdO3,0.514,1.8203652654572866,1.9940694197579185,6.11216322068358,3.0063999999999997
Ba4PtO6,0.5159999999999999,1.645282804013912,1.6452828028530437,1.22224539466573,3.6014999999999997
Li5AuO4,0.516,4.469199548277605,4.017542740133453,2.9433989933387026,4.665
K3BiO3,0.517,27.25179351681092,27.25179351681092,27.25179351681092,5.1759
V2Pb3O8,0.5199999999999999,5.799616750005201,3.9526462333494843,2.6748163702480543,3.9679
Rb5Au3O2,0.52,7.263089150606269,14.332544830541654,2.024044910131839,2.551
CsAuO2,0.52,4.928703924837968,29.36492011671096,0.8276413377682189,4.3754
RbAuO2,0.52,14.087651072172793,14.01638962547445,0.815996968587714,4.4036
KAsO2,0.52,4.639579382023021,5.22351851802136,5.314530396958933,6.2463999999999995
Ca2BiAsO6,0.522,17.591896615978296,6.307370697063794,3.2995225090112,5.2183
Ca2VBiO6,0.526,17.27212050426211,7.313133817293535,1.7278810725676121,4.418699999999999
NaAuO2,0.526,15.853931644186574,1.1643732891814005,14.297347083959599,3.3324000000000003
Au2O3,0.527,1.8878568777837488,2.361889716648981,3.676530476113146,1.9444000000000004
Na3AuO2,0.528,3.468635295854671,3.468635295854671,5.37617025027994,4.1232
LiLa4AuO8,0.528,4.377148214208444,12.66930071995321,3.539314565247164,3.6911000000000005
Tl2O,0.53,2.024228260387729,2.0242282486498606,0.15790029034848116,0.6478999999999999
RbBiO2,0.532,1.9409940975827435,1.8738547830675907,3.783914513628141,3.6184000000000003
Cd2BiAsO6,0.532,44.829150098530505,4.316346605407729,4.559777984993314,3.5425
KAuO2,0.532,40.57590479980961,6.428810030724901,0.8508879821715831,4.307
KBiO2,0.532,1.4118837095313272,1.3173287451927909,2.91651644605788,3.2183
Ba2ScCuO4,0.5349999999999999,2.4598352403203725,2.4598352403203725,1.160611468888732,3.8233
Ca4PdO6,0.5359999999999999,3.0570913345526725,3.0570913358416614,3.270853542840258,3.7962
