formula,O-2p,hole_mass_11,hole_mass_22,hole_mass_33,bandgap,hole_mass_avg
Li2PbO3,0.7319999999999999,1.9641430711557184,1.806218731572425,1.491469501059098,2.4227999999999996,1.7539437679290806
MgTa2O6,0.776,1.675092932342015,1.675092932342015,1.9258328918409071,4.538499999999999,1.758672918841646
La2Pt2O7,0.388,1.75982942656938,1.75982942656938,1.75982942656938,2.1244999999999994,1.75982942656938
Li2HgO2,0.718,1.3638577551317137,1.3638577551317137,2.553809156646569,2.4527,1.7605082223033321
Ba2PbO4,0.6819999999999999,1.797330115383445,1.797330115383445,1.6976091057837246,2.6636,1.7640897788502048
ScAgO2,0.228,1.4950842994714748,1.4950842958718054,2.3196125959159324,3.6181,1.7699270637530706
LiScO2,0.74,1.5298426902149336,1.5298426902149336,2.2672084845799274,6.1031,1.7756312883365981
CaHgO2,0.6819999999999999,2.2218245052420156,2.221824499736647,0.894631691170854,4.3662,1.7794268987165056
LiAgO2,0.696,2.608930674330369,1.469298535502796,1.280758308462545,1.913,1.7863291727652364
La2Sn2O7,0.7520000000000001,1.788048140702219,1.788048140702219,1.788048140702219,4.878900000000001,1.7880481407022188
RbYO2,0.678,1.6118210305955774,1.6118210287007186,2.1575157396691744,6.084300000000001,1.7937192663218233
VInO4,0.7399999999999999,1.245962735939786,1.9857157098822664,2.173910409431923,5.1493,1.8018629517513254
LaVO4,0.73,1.5246607328356554,1.5246607328356556,2.36932930341853,4.9328,1.806216923029947
Ba2CePtO6,0.396,1.8349299761575837,1.8349299761575837,1.8349299761575837,2.8753,1.8349299761575837
ZnO,0.588,1.5747848507803752,1.5747848492547962,2.4080578701794004,3.1484,1.8525425234048576
BaHgO2,0.618,2.2605289079434483,2.260528914337774,1.0369859869751914,4.7979,1.8526812697521375
Ba3MgTa2O9,0.75,1.8069704121921168,1.80697041018096,1.9791540816735176,5.1407,1.8643649680155316
Ba(AgO)2,0.296,1.1573308009858272,1.1573308009858276,3.284727293090444,3.1586,1.8664629650206994
Mg2PtO4,0.472,1.20687802090732,2.941399461197324,1.466298152010716,3.3459000000000003,1.8715252113717868
KBiO2,0.532,1.4118837095313272,1.3173287451927909,2.91651644605788,3.2183,1.8819096335939995
Ba3Ta2ZnO9,0.747,1.6795427611171505,1.6795427593730785,2.304766565811208,5.148,1.8879506954338126
Sr4PdO6,0.5399999999999999,2.0155693272092625,2.01556933123629,1.642736695331409,3.5843000000000007,1.8912917845923207
ZnWO4,0.6439999999999999,1.591543106184088,2.7310781770572783,1.351609223035675,4.284800000000001,1.8914101687590137
Ba3MgNb2O9,0.753,1.889916174630678,1.889916172908652,1.899325232176761,4.3713,1.8930525265720304
Li2ZrO3,0.7380000000000001,1.6875630812653732,1.9320750420789592,2.0821663256257494,6.2036,1.9006014829900273
HgO,0.602,1.4450605516313586,0.6566729138638838,3.612565693167055,2.2824,1.904766386220766
RbTlO,0.368,1.6511658453317062,1.6208938334918328,2.4629317182294996,2.3529,1.9116637990176795
Ba3MgTaNbO9,0.75,1.883125425554164,1.8831254226838336,1.9869419593579551,4.6639,1.9177309358653176
CsLaO2,0.644,1.8785260342904644,1.878526040053096,2.0032056437257295,4.8801000000000005,1.9200859060230968
CsYO2,0.652,2.5298184489982662,2.529818444928908,0.7140816345700723,4.869400000000001,1.9245728428324156
As2O3,0.4319999999999999,2.137002521655813,1.2004215228809865,2.4366788505106274,5.3431,1.9247009650158091
BaSnO3,0.7439999999999999,1.9288290188832795,1.9288290188832795,1.9288290188832795,2.6303000000000005,1.9288290188832795
Nb2SnO6,0.3,0.7162755977095813,3.928770858392938,1.15603333269954,2.3076000000000003,1.9336932629340196
BaZrO3,0.738,1.958223538448764,1.958223538448764,1.958223538448764,5.009,1.958223538448764
Li2HfO3,0.7460000000000001,1.4815978728352956,2.278135770216564,2.1404769830458426,6.7959,1.9667368753659007
BaHfO3,0.74,1.981144180734221,1.981144180734221,1.981144180734221,5.4862,1.981144180734221
AgAuO2,0.3,3.704456737314416,0.7147095999242005,1.5331100844686545,1.2439999999999998,1.9840921405690903
KTaO3,0.77,1.988897688136908,1.988897688136908,1.9888976881369091,3.5482,1.9888976881369083
SrHgO2,0.66,2.5859619938513365,2.5859619770246276,0.8414110380477736,4.7047,2.0044450029745793
Ba2ScTaO6,0.748,2.00942407108278,2.00942407108278,2.00942407108278,4.7564,2.00942407108278
Li2O,0.7030000000000001,2.011854117604148,2.0118541176041487,2.011854117604148,8.2887,2.0118541176041482
SrSnO3,0.718,2.3031033688741043,1.9088765276659532,1.8565529331876465,3.9823,2.0228442765759014
Ba2ScCuO4,0.5349999999999999,2.4598352403203725,2.4598352403203725,1.160611468888732,3.8233,2.0267606498431587
BaTiO3,0.76,2.0364681170979817,2.036468107154578,2.0102113402352564,3.2929000000000004,2.0277158548292724
Ba3MgSb2O9,0.7380000000000001,1.6643731627286786,1.664373163859027,2.755813768911961,5.3481,2.028186698499889
Ba2ScNbO6,0.748,2.029860918249983,2.029860918249983,2.0298609182499834,4.190099999999999,2.0298609182499834
KNbO3,0.767,2.0375884387612415,2.0375884401228226,2.018316390213611,3.608,2.0311644230325583
Ba3ZnSb2O9,0.7400000000000001,1.561810920440542,1.5618109169160816,2.9812825025027587,4.5222,2.0349681132864608
Ba2SnO4,0.6869999999999999,2.314680949234751,2.314680949234752,1.4784828735943516,4.7919,2.0359482573546184
Ba2MgWO6,0.756,2.044996679925182,2.044996679925182,2.044996679925182,4.579599999999999,2.044996679925182
Ba4Na(SbO4)3,0.744,2.062616893391118,2.062616893391118,2.062616893391118,3.8484,2.062616893391118
