formula,O-2p
Ca3CdO4,0.652
BaCdO2,0.652
K2NaTlO3,0.652
Rb3AlO3,0.6520000000000001
NaLaO2,0.654
K3GaO3,0.656
K2MgO2,0.656
Rb4SnO4,0.656
La2Be2GeO7,0.656
La6WO12,0.658
Li2CdGeO4,0.659
Cs2SnO3,0.6599999999999999
Rb2MgO2,0.66
K4SnO4,0.66
SrHgO2,0.66
MgZn2(AsO4)2,0.66
K4PbO4,0.66
K3AlO3,0.66
Cs2Li2TiO4,0.6600000000000001
Cs2Li2GeO4,0.6600000000000001
Ba2ZnSi2O7,0.6619999999999999
Ba2Cd(BO2)6,0.6619999999999999
Na2Zn2Si2O7,0.6630000000000001
Rb2SnO3,0.6639999999999999
Cd2GeO4,0.664
Cs6Ge2O7,0.6640000000000001
K2BeO2,0.666
CsBO2,0.666
Cd2SnO4,0.668
K4TiO4,0.668
Na2ZnSiO4,0.668
Li2ZnGeO4,0.6699999999999999
Ba2ZnWO6,0.6719999999999999
K2SnO3,0.672
Ba2LaBiO6,0.6720000000000002
Ba2ZnMoO6,0.674
Ba4InSbO8,0.6740000000000002
KTlO2,0.676
Na2HgO2,0.676
RbScO2,0.676
Cd(SbO3)2,0.678
RbYO2,0.678
RbTlO2,0.678
SrO,0.678
Cs2Li2SiO4,0.6780000000000002
K6Si2O7,0.6799999999999997
Rb2Li3GaO4,0.6799999999999998
Cs2ZrO3,0.6799999999999999
Al2ZnO4,0.6799999999999999
CsNaTiO3,0.68
Ta2Zn3O8,0.68
CaHgO2,0.6819999999999999
Ba2PbO4,0.6819999999999999
Rb2Li2GeO4,0.682
KLaTiO4,0.682
Sr2LaBiO6,0.6839999999999998
Rb6Si2O7,0.6839999999999999
Rb2ZrO3,0.6839999999999999
Sr2CdWO6,0.6839999999999999
KNa2GaO3,0.6839999999999999
Cs6Si2O7,0.6839999999999999
KNaGeO3,0.684
Ba2ZrO4,0.684
Cd2SiO4,0.6849999999999998
Ba2MgGe2O7,0.6859999999999999
CdSnO3,0.6859999999999999
Cs2NaVO4,0.686
Na4TiO4,0.686
Ba2SnO4,0.6869999999999999
CsCdBO3,0.687
Sr2LaSbO6,0.688
Zn(GaO2)2,0.688
NaTlO2,0.688
K2ZrO3,0.688
BaGeO3,0.6880000000000002
Ba2HfO4,0.689
Rb2Li2SiO4,0.6900000000000002
KLa2NbO6,0.692
K2PbO3,0.692
Na4SnO4,0.692
Ba2TiO4,0.692
Ba2Cd(BO3)2,0.692
Cd(GaO2)2,0.692
K3BiO4,0.6920000000000001
CaLaGaO4,0.6920000000000001
LaSbO4,0.6920000000000002
V2Cd2O7,0.6930000000000001
TiCdO3,0.694
Ba2LaTaO6,0.694
Cd(AsO3)2,0.6940000000000001
Sr2MgGe2O7,0.6940000000000002
Sr2SnO4,0.6950000000000001
LiAgO2,0.696
CdWO4,0.696
CdIn2O4,0.696
Na4PbO4,0.696
K2Na4Be2O5,0.698
Na4GeO4,0.6980000000000001
Ba2MgSi2O7,0.6980000000000001
Ba3Nb2CdO9,0.699
BaY2O4,0.7
Ba3NaBiO6,0.7
KYO2,0.7000000000000001
Ba3NaTaO6,0.7000000000000001
Cs2CrO4,0.7000000000000001
Ba2Sc2O5,0.7000000000000002
Na3Ca2BiO6,0.7010000000000001
KInO2,0.702
Ca2GeO4,0.702
Na2MgGeO4,0.7020000000000001
La3HfGa5O14,0.7020000000000002
Ba4Nb2O9,0.7020000000000002
Li2O,0.7030000000000001
NaLa2TaO6,0.7030000000000001
Sr2MgSi2O7,0.7039999999999998
KNaLaNbO5,0.704
NaGaO2,0.704
Ba3NaSbO6,0.704
Ba3NaNbO6,0.7040000000000001
Sr2PbO4,0.7040000000000002
Ba3SrNb2O9,0.7040000000000002
CaO,0.705
SrLi2SiO4,0.705
KLi3PbO4,0.706
